team,pf,pa,pt_diff
WAS,329,518,-189
NYJ,268,355,-87
ATL,321,373,-52
CLE,396,362,34
NYG,266,407,-141
KC,371,294,77
CHI,360,379,-19
BAL,483,280,203
IND,396,415,-19
SEA,364,402,-38
DEN,357,413,-56
LAC,346,398,-52
NE,236,366,-130
PIT,304,324,-20
MIN,344,362,-18
NO,402,327,75
CIN,366,384,-18
TB,348,325,23
HOU,377,353,24
JAX,377,371,6
TEN,305,367,-62
BUF,451,311,140
PHI,433,428,5
CAR,236,416,-180
ARI,330,455,-125
DAL,509,315,194
DET,461,395,66
LA,404,377,27
MIA,496,391,105
GB,383,350,33
SF,491,298,193
LV,332,331,1
